tr_both,tr_bce,tr_mse,val_both,val_bce,val_mse
161310.3720703125,11868.702938079834,14944167.2265625,36248.31106567383,1917.0445957183838,3433126.724609375
50397.71513366699,1091.4078818559647,4930630.83984375,13597.884819030762,1493.6192297935486,1210426.5815429688
39968.00347137451,885.1314978897572,3908287.2919921875,11222.696548461914,1589.726422071457,963297.037109375
37587.14992523193,856.4054055064917,3673074.521484375,10566.281951904297,1317.3433673381805,924893.884765625
37362.57805633545,208.01961597800255,3715455.935546875,10822.08525466919,1446.1930255889893,937589.2421875
37023.00919342041,188.65430906042457,3683435.556640625,10800.191566467285,1467.5434663295746,933264.82421875
36732.504455566406,347.72101686522365,3638478.4296875,10884.235706329346,1677.0037139952183,920723.2219238281
36127.4056930542,489.31860702112317,3563808.7880859375,10468.48963546753,1446.2060117721558,902228.380859375
36108.21633911133,498.8042368218303,3560941.2861328125,10206.637382507324,1387.6599242687225,881897.7646484375
34788.01895904541,364.8217792958021,3442319.7841796875,10027.130613327026,1306.4705384895205,872066.02734375
34202.40100860596,376.08254639804363,3382631.9189453125,10022.137704849243,1390.0819422006607,863205.5983886719
33872.955001831055,382.5237224083394,3349043.1962890625,9865.055587768555,1386.1215876340866,847893.4301757812
33321.10287475586,148.10407126042992,3317299.9560546875,9836.703113555908,1399.5779953151941,843712.5329589844
32706.31987762451,179.07766832970083,3252724.28125,9644.749568939209,1349.9419207572937,829480.7819824219
32636.648315429688,192.75236585456878,3244389.6611328125,9767.977054595947,1518.4778097569942,824949.9467773438
32670.924118041992,220.30572671163827,3245061.9150390625,9579.445919036865,1369.5695860385895,820987.6506347656
32160.840644836426,212.54867075849324,3194829.2578125,9729.698543548584,1584.2837353944778,814541.4921875
31907.149185180664,93.42868801299483,3181372.126953125,9711.460647583008,1569.6187497079372,814184.2080078125
31534.77727508545,226.78051806543954,3130799.7534179688,9566.344604492188,1570.9695268720388,799537.5217285156
31298.130249023438,94.00334331719205,3120412.763671875,9627.058647155762,1655.3336103409529,797172.5185546875
